Produtos;Média de VLR_MERCADORIA
0; 2.776,10 
00 00 58 + 0,05% B MINERAL MISTO - GRANULADO - FERTILIZANTE; 57.277,56 
00 00 58 + 0,5% B MINERAL MISTO; 100.365,19 
00 00 60 KCL; 39.118,24 
00 00 60 KCL CLORETO DE POTASSIO 60 % GRANULADO; 50.908,58 
00 00 60 KCL GRANULADO; 78.934,02 
00 21 00 18H2O 19CA11S MC19,0Ca11,0S GRANULADO; 119.858,39 
00 46 00 00 39H20 10CA TSP; 123.639,54 
03 28 00 11,5Ca 6,5S 0,18Zn 0,42B 0,1Cu3,0N; 126.727,25 
06 27 06 8Ca 8, 4s GRANULADO; 139.931,94 
09 40 00 4Ca 5S GRANULADO; 129.571,84 
09 40 00 4Ca 5S9,0N TOT40,0P2O5 SOL; 136.990,05 
10 14 1410,0N TOT14,0P2O5 SOL H2O6, 0CA TOT9, 0S TOT GRANULADO; 127.016,28 
10 46 00 + 9%S + 2% S(SO4) - MINERAL COMPLEXO - GRANULADO FERTILIZANTE; 111.217,46 
10 46 00 9%S GRANULADO MÊS 9 FERTILIZANTES; 112.937,20 
11- 44 00  GRANULADO; 110.556,12 
12-40-00 +10%S CROPLEX FERTILIZANTE 12-40-00; 90.915,03 
12-40-00+10%S+0,3%B+1,0%ZN CROPLEX; 65.761,32 
13 33 00 + 15%S + 7,5%S(SO4) - MINERAL COMPLEXO - GRANULADO - FERTILIZANTE; 104.107,17 
13 33 00 GRANULADO MES 15; 135.531,59 
15 06 00 5,5cA; 111.017,14 
15-15-15 +10%S EI; 75.329,61 
16 16 16 NITROFOSKA; 88.321,67 
16-16-16 NITROFOSKA FERTIVA; 78.443,53 
17-00-28 SUNKISS; 61.958,89 
18%N - 09%P2O5 - 27%K2O; 55.100,00 
19 04 19 1MG 1S 0,1B 0,1ZN YARAMILA; 81.611,70 
19.04.19 NA NPK NO MESMO GRANULO; 50.066,92 
19-04-19 +1%MG +2%S +0,2%B + 0,1%ZN FERTIVA; 59.357,25 
2 REDUÇÃO-BOL RJGS 600 400; 186.464,14 
2 TOCO TOF.16 600 250; 326.363,58 
21 00 00 24S SAM GR; 18.901,10 
21 TUBO-FL TK12FLAZ.16 1200 1700; 164.219,41 
21-01-21 SUNKISS; 55.580,05 
25/30 MGGCS 2717 WB; 738.518,49 
25/30 MGGHA 0071; 382.941,56 
27 00 00 4CA 2MG YARABELA NITROMAG; 55.480,84 
30/0 GBO-6-S-RG-T3; 6.403,40 
30/0 GRAINBOND-6-S-RG-T3; 627.526,65 
30/40 MGGCS 2717 WB; 508.237,69 
32 TUBO-FLS TFLAV.16 250 700; 113.266,45 
34 00 00 NAM PCE Lote: 4501020037; 53.181,44 
35/0 MGGCS 2717 WB; 384.503,44 
35/0 MGUHAN 4767; 562.533,99 
35/20 MGGCS 2717 R1WB; 454.462,69 
3P10 MGUHAN 2155; 112.844,52 
4 REDUÇÃO-FLS RFF.16 600 500; 67.875,27 
40/0 MGUDAN 7350; 251.790,26 
40/0/152 NGUKS 4110; 252.210,39 
40/20 MGGCS 2717 WB; 217.095,59 
40/20 MGUDAY 4930; 170.662,67 
40/80 MGUDAY 4930; 202.551,68 
43.00.00 - COTE N (2); 168.910,85 
43.00.00 - COTE N (4); 206.191,78 
45/0 MGUVAN 6060; 99.351,61 
50/0 MGUDAN 7350 ET; 223.879,43 
50/20 MGUHAN 4767; 208.245,53 
50/40 MGUDAN 7350 ET; 160.535,61 
620 NGGBO 6972; 210.681,94 
622 NGGNO 6971; 105.096,07 
622L300 NGGNO 6971; 162.656,97 
70G1873E2 MGGCS 2717 BNR1ZD; 389.933,96 
9 TUBO-FP TK12FPAZ.16 1200 1500; 108.529,64 
90/60 MGUFAY 2931 ET; 486.393,84 
A9X2X114-110 MGGSA 2801; 144.194,94 
A9X3X3-23/4 MGGSA 2800; 412.539,19 
A9X63/4X3-21/2 MGUHAY 4220; 344.531,14 
A9X63/4X3-21/2 MGUTAY 2996; 333.073,66 
A9X63/4X3-21/2 NGUKS 4110; 340.991,65 
A9X63/4X3-23/4 MGUHAY 4220; 450.613,03 
A9X63/4X3-23/4 MGUTAY 2996; 363.479,80 
A9X63/4X3-23/4 NGUKS 4110; 389.446,01 
A9X6X3-11/2 MGG0A 3939; 228.393,29 
A9X6X3-23/4 MGUHAY 4220; 180.771,65 
A9X6X3-23/4 MGUTAY 2996; 192.645,73 
